profile,layer,channel,tau
reverse,2,11,4.55736780166626
reverse,2,12,3.542573928833008
reverse,2,13,3.4152514934539795
reverse,2,14,4.823219299316406
reverse,2,15,4.42972993850708
reverse,2,16,4.7213006019592285
reverse,2,17,3.0161938667297363
reverse,2,18,2.7166128158569336
reverse,2,19,3.9813075065612793
reverse,2,20,4.645137786865234
reverse,2,21,2.7773709297180176
reverse,2,22,5.300365924835205
reverse,2,23,4.955189228057861
reverse,2,24,4.3415961265563965
reverse,2,25,3.4683375358581543
reverse,2,26,4.699202537536621
reverse,2,27,2.5751140117645264
reverse,2,28,4.8113112449646
reverse,2,29,4.665279388427734
reverse,2,30,3.3130838871002197
reverse,2,31,4.728543281555176
reverse,2,32,4.509686470031738
reverse,2,33,3.779000759124756
reverse,2,34,4.786605358123779
reverse,2,35,4.727919101715088
reverse,2,36,4.08812141418457
reverse,2,37,3.6908578872680664
reverse,2,38,4.409727096557617
reverse,2,39,3.276109457015991
reverse,2,40,5.274832248687744
reverse,2,41,3.8540871143341064
reverse,2,42,2.4971096515655518
reverse,2,43,4.786473751068115
reverse,2,44,1.1000685691833496
reverse,2,45,2.956851005554199
reverse,2,46,4.809502601623535
reverse,2,47,5.021688938140869
reverse,2,48,2.907463788986206
reverse,2,49,4.591892242431641
reverse,2,50,1.4589329957962036
reverse,2,51,4.086987018585205
reverse,2,52,1.6837080717086792
reverse,2,53,4.715183734893799
reverse,2,54,3.0519027709960938
reverse,2,55,5.073753833770752
reverse,2,56,3.1120035648345947
reverse,2,57,4.9577202796936035
reverse,2,58,2.8432343006134033
reverse,2,59,2.5342156887054443
reverse,2,60,4.26917028427124
reverse,2,61,3.0426747798919678
reverse,2,62,5.554818153381348
reverse,2,63,4.7233405113220215
reverse,2,64,1.100000023841858
reverse,3,1,5.067976474761963
reverse,3,2,5.815371990203857
reverse,3,3,1.426162600517273
reverse,3,4,3.0282676219940186
reverse,3,5,3.7713489532470703
reverse,3,6,3.0712554454803467
reverse,3,7,1.100000023841858
reverse,3,8,4.9304962158203125
reverse,3,9,1.4707227945327759
reverse,3,10,3.1575536727905273
reverse,3,11,9.639378547668457
reverse,3,12,5.352074146270752
reverse,3,13,3.617258071899414
reverse,3,14,2.540682792663574
reverse,3,15,3.8017477989196777
reverse,3,16,9.547698020935059
reverse,3,17,10.037670135498047
reverse,3,18,3.5483198165893555
reverse,3,19,2.433666467666626
reverse,3,20,9.15853214263916
reverse,3,21,4.474410533905029
reverse,3,22,1.6110929250717163
reverse,3,23,2.7494957447052
reverse,3,24,8.478439331054688
reverse,3,25,1.6257861852645874
reverse,3,26,4.581040382385254
reverse,3,27,4.164483547210693
reverse,3,28,2.3914077281951904
reverse,3,29,2.991791009902954
reverse,3,30,2.43107008934021
reverse,3,31,9.57830810546875
reverse,3,32,2.5839598178863525
reverse,3,33,4.508891582489014
reverse,3,34,4.41016149520874
reverse,3,35,2.628751516342163
reverse,3,36,8.67951774597168
reverse,3,37,2.750223398208618
reverse,3,38,4.4647040367126465
reverse,3,39,1.9571621417999268
reverse,3,40,4.1320719718933105
reverse,3,41,2.028688907623291
reverse,3,42,2.479252338409424
reverse,3,43,4.152927875518799
reverse,3,44,3.2261962890625
reverse,3,45,4.948916435241699
reverse,3,46,2.844726085662842
reverse,3,47,10.253181457519531
reverse,3,48,3.10402512550354
reverse,3,49,2.1157915592193604
reverse,3,50,1.8093140125274658
reverse,3,51,5.0566864013671875
reverse,3,52,3.4365899562835693
reverse,3,53,4.165858745574951
reverse,3,54,3.997065782546997
reverse,3,55,2.952817916870117
reverse,3,56,3.989039897918701
reverse,3,57,1.8920565843582153
reverse,3,58,1.7175966501235962
reverse,3,59,1.8720980882644653
reverse,3,60,8.263107299804688
reverse,3,61,8.7138032913208
reverse,3,62,8.854165077209473
reverse,3,63,3.3254756927490234
reverse,3,64,2.948394775390625
reverse,3,65,6.95115852355957
reverse,3,66,3.929969549179077
